#CODE;ENGLISH;;;;;;;;;x
##### Landed Titles
city_duke_anarchist;Comrade;;;;;;;;;x
city_duke_female_anarchist;Comrade;;;;;;;;;x
city_king_anarchist;Comrade;;;;;;;;;x
city_king_female_anarchist;Comrade;;;;;;;;;x
city_emperor_anarchist;Comrade;;;;;;;;;x
city_emperor_female_anarchist;Comrade;;;;;;;;;x
baron_anarchist;Comrade;;;;;;;;;x
baron_female_anarchist;Comrade;;;;;;;;;x
count_anarchist;Comrade;;;;;;;;;x
count_female_anarchist;Comrade;;;;;;;;;x
duke_anarchist;Comrade;;;;;;;;;x
duke_female_anarchist;Comrade;;;;;;;;;x
king_anarchist;Comrade;;;;;;;;;x
king_female_anarchist;Comrade;;;;;;;;;x
emperor_anarchist;Comrade;;;;;;;;;x
emperor_female_anarchist;Comrade;;;;;;;;;x
title_prince_anarchist;Comrade;;;;;;;;;x
title_prince_female_anarchist;Comrade;;;;;;;;;x
barony_of_anarchist;Commune of;;;;;;;;;x
county_of_anarchist;Union of;;;;;;;;;x
duchy_of_anarchist;Coalition of;;;;;;;;;x
kingdom_of_anarchist;Syndicate of;;;;;;;;;x
empire_of_anarchist;Free Territory of;;;;;;;;;x
job_spiritual_anarchist;Head of Agitprop;;;;;;;;;x
job_chancellor_anarchist;Speaker;;;;;;;;;x
job_marshal_anarchist;Militia Delegate;;;;;;;;;x
job_treasurer_anarchist;Industrial Coordinator;;;;;;;;;x
job_spymaster_anarchist;Chief of Opsec;;;;;;;;;x
