#CODE;ENGLISH;;;;;;;;;x
##### Shared Localizations
school_fist_desc;Adherents of the School of the Fist believe that the Party should, first and foremost, stand in opposition to the hegemony of imperial powers such as the Confederacy, California, and Brazil. Holding that each culture has the right to their own interpretation of Marxist theory, scholars of this School of Thought include Mao, Sankara, and Ho.;;;;;;;;;x
hero_of_labor;Hero of Labor;;;;;;;;;x
hero_of_labor_desc;Those who have served the Revolution in a Great Patriotic War are considered Heroes of Labor.;;;;;;;;;x

##### Modifiers
supported_peasants;Supported Peasants;;;;;;;;;x
supported_nobles;Supported Nobles;;;;;;;;;x
held_rally;Held Rally;;;;;;;;;x
held_rally_effect;Held Rally;;;;;;;;;x
reeducation_campaign_effect;Reeducation Campaign;;;;;;;;;x
held_rally_effects;Held Rally;;;;;;;;;x
formed_ussa;Formed the U.S.S.A.;;;;;;;;;x
international_solidarity;Declared Fifth International;;;;;;;;;x
